          S.no.                                         ,Abstract
1,"In the last fifteen years dramatic changes have occurred in early childhood education, particularly in early literacy. Responding to the research, public libraries have transformed their services to young children and caregivers. In 2004, the Public Library Association launched Every Child Ready to Read. Maryland librarians were on the forefront of this effort, which developed in tandem with their It's Never Too Early campaign. At the same time, libraries have been trying to develop outcome measures to assess their impact on users. The current study uses data from a kindergarten readiness assessment in literacy and finds a positive correlation with children's library use as shown by circulation and attendance at children's programs in Maryland. This paper examines the implications of such research on policies and practices and makes recommendations for future study."
2,"Freedom of expression as a right has been protected by many nations' Constitutions and human right organizations. Freedom of expression has a long history in both the Western and Islamic worlds. Each viewed, defined, and analyzed the term differently based on their values and principles. Unsurprisingly, the Western and Islamic worlds do not completely agree on the meaning of freedom of expression. Though, they do share an agreement on certain aspects of freedom of expression. In particular, freedom of expression is to speak, write, act, and believe freely without causing harm to the society or any individual. The disagreement is on the limitations of freedom of expression. Further, it is central to mention that the existence of the Internet has impacted how people perceive freedom of expression in both worlds.

On the other hand, as a basic human right, freedom of expression has been examined, analyzed, and compared substantially by legal experts. More importantly, several studies within the legal arena have compared the notion of freedom of expression among countries' legislations. Therefore, freedom of expression has been studied solidly through the legal lens. However, social science scholars started to study freedom of expression when the Internet appeared. There are not any comparative studies in any social science field that examine freedom of expression among countries. More significantly, no studies relating between individuals' cultural background and/or religious beliefs and how these individuals shape their perception of freedom of expression exist. For that reason, I plan to examine how culture and religion may impact how older and younger generations perceive the notion of freedom of expression in the digital-technology era. My study will compare South Africa as a Western-based values country and Kuwait as Islamic country. To better understand the influence of culture and religion on people's perception of freedom of expression, I intend to describe the culture and the religion of both countries. Additionally, my research will compare legislations concerning freedom of expression and its limitations in each country and examine the views and perceptions of people.

In order to examine the complexity of the topic of freedom of expression, I will conduct an international and comparative study through the mixed-methods research approach. Drawing from social science and information studies perspectives, I hope this study will lead to understanding of culture and religion's influence on people's conceptualization of the notion of freedom of expression in digital-technology era and hopefully reach valuable results that help legal experts better understand freedom of expression and its limitations."
3,"This dissertation explores the peculiar history of the bookmobile in the United States from the close of the nineteenth century to the turn of the twenty-first. In the process, it insists that a spatial politics of shared information was key to constructing and contesting community in twentieth-century America. Grounded in cultural geography, American Studies, and book history, it is an interdisciplinary investigation of the roles that bookmobiles played in efforts to build what some reformers called “common consciousness,” a sense of cultural and spiritual connection. Indeed, the bookmobile emerged not just as a tool for getting books into far-flung hands but also as a way to confront two persistent questions: What should our communities look like in this new century, and who should be included in them? This dissertation argues that the bookmobile’s answers to those questions both shaped and were shaped by three factors—racial segregation, imperial expansion, and consumer capitalism—that ultimately exposed the limits of the dream of a common consciousness.

Drawing on research in archival and published sources, this dissertation looks at a series of moments when bookmobiles, by moving purportedly public culture through supposedly shared space, forced Americans to consider what it would mean to hold ideas and objects in common. A set of five thematically distinct and roughly chronological chapters allows the dissertation to touch down in particular times in particular places—in Progressive-Era Kansas, in the Jim Crow South, in New Deal New Mexico and Cold War West Germany, in suburban supermarkets, and in Silicon Valley—while offering an expansive view of the relationship between community, space, and culture in America."
4,"All students, including those who identify as lesbian, gay, bisexual, transgender or queer (LGBTQ), need quality library books which reflect their experiences. This mixed-method research project examines whether public high school library professionals are self-censoring their library collections when it comes to materials with LGBTQ themes. Quantitative data were collected from 120 Ohio public high school libraries, while 12 school librarians were interviewed. The study found that school libraries tended to have significantly fewer LGBTQ-themed books than titles with other kinds of controversial content, but that certain factors, including schools with large number of students; schools with a racially diverse student body; schools located in liberal-leaning communities; and schools that employ certified librarians, are present in schools with more inclusive LGBTQ collections. Qualitative findings supported the quantitative analyses and stressed the importance of a supportive community and administration when developing a quality, inclusive library collection."
5,"This paper examines the presence of death in contemporary, 1990-2013, award-winning picture books in the United States, Canada, England, and Australia. Literary awards nationally, and globally, recognize titles that are considered to be exemplary in their genre. These awards—the Caldecott from the United States, the Governor General's Award for English-Language Illustration, the Kate Greenaway Medal from the United Kingdom, and the Children's Book Council of Australia's Best Picture Book of the Year Award—are the most prestigious in their country of origin and greatly impact the economic value and visibility of each title, the global children's book market, and the careers of the winning author and illustrators. Although death education for young children is hotly debated, its importance cannot be understated. Given the continuing trend of research showing the benefits of death education for children there has been a remarkable lack of award-winning literature that depicts death, dying, and learning how to cope with the extreme feelings these events create. A larger presence of death in award-winning children's literature would provide an easy-to-find, and reference, guide of excellent books parents or other adults could give to children to teach them about death, healthy coping methods, and empathy."
6,"We are experiencing an antimicrobial resistance (AMR) crisis, brought on by the drying up of the antibiotic discovery pipeline and the resulting unchecked spread of resistant pathogens. Traditional methods of screening environmental isolates or compound libraries have not produced a new drug in over 30 years. Antibiotic discovery is uniquely difficult due to a highly restrictive penetration barrier and other mechanisms that allow bacteria to survive in the presence of toxic compounds. In this Perspective, we analyze the challenges facing discovery and discuss an emerging new platform for antibiotic discovery. The penetration barrier makes screening conventional synthetic compound libraries largely impractical, and actinomycetes, the main source of natural product compounds, have been overmined. The emerging platform is based on understanding the rules that guide the permeation of molecules into bacteria and on advances in microbiology, which enable us to identify and access attractive groups of secondary metabolite producers. Establishing this platform will enable reliable production of lead compounds to combat AMR."
7,"Background: Adiponectin has been implicated to play a role in the pathophysiology of chronic obstructive pulmonary disease (COPD). Many studies have assessed serum adiponectin concentrations in COPD patients. However, results from different reports were not consistent. To assess the association of serum adiponectin concentrations and COPD, a meta-analysis was performed. Methods: PubMed, Embase, Web of Science and Cochrane Library were searched for eligible studies. Data were extracted, and then standard mean differences (SMDs) and 95% confidence intervals (CI) were calculated. Conclusions: This meta-analysis indicates that patients with COPD have higher serum adiponectin concentration than healthy controls."
8," There is currently no definitive treatment for the painful scar. Autologous adipose tissue grafting (AATG) as a treatment option for scars has become increasingly popular and there is now an abundance of evidence in the literature that supports its application. Some studies suggest that human adipose tissue is a rich source of multipotent mesenchymal stromal cells. To our knowledge, there is currently no systematic literature review to date that examines the effectiveness of AATG for reducing pain in scars. Our novel systematic review aims to examine clinical studies on the use of AATG in the treatment of the painful scar. Methods: A literature search was performed using the following databases: PubMed, Cumulative Index to Nursing and Allied Health Literature, Web of Science, Medline, Cochrane library and Embase. The following key words and search terms were used: adipose stem cells, scar, pain, autologous fat grafting, scar management and neuropathic pain. Human interventional studies using autologous adipose tissue grafting for the treatment of painful scars including case series, case-control, cohort studies and randomized controlled trials were reviewed. Results: A total of 387 studies were found and 18 studies from January 1990 to January 2019 were identified as relevant for the purpose of this systematic review. Two studies were evidence level V, seven were evidence level IV, six were evidence level III, two were evidence level II and one was level I. A total of 337 scars were assessed in 288 patients for improvement in pain after scar treatment using adipose tissue grafting. An improvement in the analgesic effect was recorded in 12 of the 18 studies with adipose tissue grafting. A total of 233 of the 288 treated subjects responded with reduction in pain, whereas the rest did not. We carried out a pooled analysis of the studies and observed an odds ratio of 3.94 (P = 0.00001) when comparing pain reduction to no change in pain. Conclusions: We conclude that AATG is a promising and safe modality for the treatment of the painful scar. There is an abundance of low-level evidence to support its use as an alternative treatment but there is a lack of high-level evidence at present to support its standard use. Future long-term randomized controlled trials with analgesic scores as the primary outcome measures are required to assess long-term efficacy."
9,"Background: Candida is a fungus that causes various types of candidemia, which is the fourth major infectious disease of the blood system. MALDI-TOF-MS is a simple and rapid detection instrument. The aim of the present study was to verify the accuracy of MALDI-TOF-MS in detecting Candida. Method: A pooled analysis of articles on MALDI-TOF-MS for diagnosis of candidemia was performed. The quality of original research was assessed using the Quality Assessment of Diagnostic Accuracy Studies (QUADAS-2) guidelines. Stata 12.0 software was used to merge the correct identification rates of Candida and Candida subspecies and obtain pooled sensitivity and specificity of the diagnostic methods. Heterogeneity was found in the subgroup analysis of the included articles. Hence, we explored the factors causing the heterogeneity and its impact on the overall situation. Sensitivity analysis was used to examine the effect of Candida level on total response. Egger's test was used to evaluate the publication bias of the included articles."
10,"Deep learning has had a profound impact on computer science in recent years, with applications to image recognition, language processing, bioinformatics, and more. Recently, Cohen et al. provided theoretical evidence for the superiority of deep learning over shallow learning. We formalized their mathematical proof using Isabelle/HOL. The Isabelle development simplifies and generalizes the original proof, while working around the limitations of the HOL type system. To support the formalization, we developed reusable libraries of formalized mathematics, including results about the matrix rank, the Borel measure, and multivariate polynomials as well as a library for tensor analysis."
